   DATE        X           sigmaX     Y         sigmaY
49973.0000     -0.003      0.212      0.088      0.124 
49974.0000     -0.035      0.211     -0.013      0.123 
49975.0000     -0.077      0.207     -0.113      0.120 
49976.0000     -0.106      0.191     -0.187      0.106 
49977.0000     -0.116      0.174     -0.219      0.092 
49978.0000     -0.095      0.170     -0.195      0.088 
49979.0000     -0.035      0.169     -0.098      0.088 
49980.0000      0.090      0.171      0.119      0.089 
49981.0000      0.079      0.172      0.094      0.089 
49982.0000     -0.040      0.173     -0.122      0.088 
49983.0000     -0.021      0.174     -0.124      0.089 
49984.0000      0.043      0.178     -0.037      0.092 
49985.0000      0.088      0.183      0.066      0.095 
49986.0000      0.067      0.184      0.132      0.096 
49987.0000     -0.086      0.195      0.093      0.103 
49988.0000     -0.158      0.197      0.048      0.104 
49989.0000     -0.122      0.192      0.016      0.102 
49990.0000     -0.036      0.172      0.002      0.091 
49991.0000      0.058      0.146      0.012      0.076 
49992.0000      0.122      0.138      0.053      0.071 
49993.0000      0.113      0.137      0.132      0.071 
49994.0000     -0.027      0.159      0.282      0.082 
49995.0000     -0.134      0.169      0.170      0.087 
49996.0000     -0.186      0.175     -0.149      0.089 
49997.0000     -0.173      0.176     -0.228      0.090 
49998.0000     -0.127      0.177     -0.190      0.091 
49999.0000     -0.076      0.178     -0.097      0.091 
50000.0000     -0.044      0.178      0.008      0.091 
50001.0000     -0.067      0.180      0.081      0.094 
50002.0000     -0.050      0.166      0.093      0.086 
50003.0000      0.007      0.135      0.053      0.070 
50004.0000      0.038      0.130      0.029      0.067 
50005.0000      0.043      0.136      0.023      0.070 
50006.0000      0.035      0.152      0.024      0.079 
50007.0000      0.018      0.164      0.030      0.086 
50008.0000     -0.005      0.167      0.040      0.087 
50009.0000     -0.023      0.168      0.064      0.087 
50010.0000     -0.038      0.169      0.092      0.088 
50011.0000     -0.051      0.175      0.113      0.091 
50012.0000     -0.061      0.180      0.123      0.094 
50013.0000     -0.065      0.182      0.117      0.095 
50014.0000     -0.063      0.182      0.089      0.095 
50015.0000     -0.052      0.190      0.032      0.096 
50016.0000     -0.041      0.192     -0.009      0.096 
50017.0000     -0.029      0.192     -0.026      0.096 
50018.0000     -0.018      0.189     -0.028      0.095 
50019.0000     -0.007      0.179     -0.016      0.091 
50020.0000      0.004      0.171      0.005      0.088 
50021.0000      0.015      0.169      0.032      0.087 
50022.0000      0.027      0.169      0.062      0.087 
50023.0000      0.042      0.168      0.072      0.087 
50024.0000      0.059      0.167      0.073      0.086 
50025.0000      0.076      0.156      0.073      0.081 
50026.0000      0.091      0.126      0.070      0.065 
50027.0000      0.105      0.105      0.066      0.054 
50028.0000      0.116      0.101      0.059      0.052 
50029.0000      0.126      0.100      0.050      0.052 
50030.0000      0.114      0.101      0.008      0.052 
50031.0000      0.097      0.108     -0.039      0.056 
50032.0000      0.084      0.137     -0.076      0.070 
50033.0000      0.077      0.164     -0.096      0.084 
50034.0000      0.081      0.171     -0.092      0.088 
50035.0000      0.097      0.172     -0.059      0.088 
50036.0000      0.137      0.170      0.016      0.088 
50037.0000      0.113      0.170      0.072      0.088 
50038.0000      0.043      0.170      0.105      0.088 
50039.0000      0.029      0.172      0.091      0.089 
50040.0000      0.035      0.182      0.059      0.092 
50041.0000      0.042      0.193      0.029      0.095 
50042.0000      0.034      0.195      0.022      0.096 
50043.0000     -0.008      0.181      0.062      0.091 
50044.0000     -0.042      0.178      0.087      0.090 
50045.0000     -0.063      0.178      0.088      0.090 
50046.0000     -0.072      0.178      0.071      0.090 
50047.0000     -0.073      0.176      0.040      0.090 
50048.0000     -0.066      0.175     -0.001      0.089 
50049.0000     -0.053      0.174     -0.050      0.089 
50050.0000     -0.035      0.174     -0.103      0.089 
50051.0000     -0.024      0.174     -0.128      0.089 
50052.0000     -0.014      0.174     -0.142      0.089 
50053.0000     -0.004      0.174     -0.153      0.089 
50054.0000      0.007      0.173     -0.160      0.089 
50055.0000      0.018      0.170     -0.164      0.087 
50056.0000      0.029      0.168     -0.166      0.087 
50057.0000      0.039      0.167     -0.163      0.086 
50058.0000      0.047      0.167     -0.158      0.086 
50059.0000      0.054      0.167     -0.149      0.086 
50060.0000      0.036      0.167     -0.091      0.086 
50061.0000      0.008      0.169     -0.015      0.087 
50062.0000     -0.005      0.172      0.030      0.088 
50063.0000      0.001      0.174      0.031      0.089 
50064.0000      0.032      0.174     -0.021      0.089 
50065.0000      0.097      0.181     -0.149      0.092 
50066.0000      0.140      0.185     -0.230      0.093 
50067.0000      0.141      0.186     -0.221      0.094 
50068.0000      0.115      0.189     -0.170      0.094 
50069.0000      0.072      0.191     -0.109      0.095 
50070.0000      0.023      0.191     -0.069      0.095 
50071.0000     -0.020      0.207     -0.093      0.102 
50072.0000     -0.049      0.210     -0.114      0.104 
50073.0000     -0.061      0.209     -0.126      0.104 
50074.0000     -0.060      0.204     -0.131      0.102 
50075.0000     -0.049      0.187     -0.130      0.095 
50076.0000     -0.033      0.173     -0.122      0.089 
50077.0000     -0.012      0.170     -0.110      0.088 
50078.0000      0.008      0.169     -0.093      0.087 
50079.0000      0.001      0.169     -0.064      0.087 
50080.0000     -0.018      0.168     -0.031      0.087 
50081.0000     -0.038      0.160      0.003      0.083 
50082.0000     -0.056      0.141      0.036      0.073 
50083.0000     -0.078      0.082      0.064      0.071 
50084.0000     -0.092      0.081      0.088      0.070 
50085.0000     -0.101      0.080      0.105      0.070 
50086.0000     -0.079      0.080      0.092      0.070 
50087.0000     -0.048      0.081      0.067      0.071 
50088.0000     -0.015      0.086      0.035      0.074 
50089.0000      0.021      0.098     -0.002      0.085 
50090.0000      0.055      0.106     -0.044      0.091 
50091.0000      0.087      0.107     -0.090      0.093 
50092.0000      0.115      0.107     -0.138      0.093 
50093.0000      0.112      0.108     -0.191      0.093 
50094.0000      0.097      0.111     -0.245      0.096 
50095.0000      0.077      0.127     -0.296      0.112 
50096.0000      0.056      0.173     -0.344      0.158 
50097.0000      0.035      0.205     -0.385      0.189 
50098.0000      0.016      0.212     -0.419      0.196 
50099.0000      0.000      0.213     -0.444      0.197 
50100.0000      0.050      0.214     -0.471      0.199 
50101.0000      0.115      0.221     -0.486      0.208 
50102.0000      0.162      0.250     -0.481      0.242 
50103.0000      0.181      0.278     -0.450      0.277 
50104.0000      0.162      0.286     -0.389      0.286 
50105.0000      0.093      0.287     -0.293      0.287 
50106.0000     -0.052      0.188     -0.152      0.181 
50107.0000     -0.088      0.152     -0.018      0.143 
50108.0000     -0.032      0.125      0.087      0.115 
50109.0000     -0.027      0.122      0.079      0.112 
50110.0000     -0.032      0.116      0.006      0.104 
50111.0000     -0.023      0.109     -0.097      0.095 
50112.0000      0.016      0.107     -0.198      0.093 
50113.0000      0.109      0.115     -0.265      0.100 
50114.0000      0.126      0.121     -0.276      0.106 
50115.0000      0.053      0.152     -0.230      0.139 
50116.0000     -0.053      0.285     -0.156      0.281 
50117.0000     -0.151      0.455     -0.077      0.461 
50118.0000     -0.200      0.508     -0.013      0.518 
50119.0000     -0.159      0.516      0.011      0.527 
50120.0000      0.049      0.287     -0.045      0.280 
50121.0000      0.001      0.231      0.065      0.211 
50122.0000     -0.252      0.221      0.293      0.177 
50123.0000     -0.395      0.214      0.407      0.160 
50124.0000     -0.189      0.185      0.229      0.147 
50125.0000      0.017      0.142      0.003      0.126 
50126.0000      0.098      0.127     -0.184      0.119 
50127.0000     -0.142      0.146     -0.245      0.137 
50128.0000      0.039      0.144     -0.082      0.133 
50129.0000      0.583      0.133      0.242      0.118 
50130.0000      0.740      0.131      0.330      0.117 
50131.0000      0.700      0.128      0.296      0.114 
50132.0000      0.553      0.120      0.198      0.105 
50133.0000      0.353      0.114      0.078      0.100 
50134.0000      0.160      0.113     -0.025      0.099 
50135.0000      0.073      0.110     -0.028      0.095 
50136.0000      0.023      0.104     -0.005      0.089 
50137.0000     -0.010      0.107     -0.017      0.092 
50138.0000     -0.030      0.129     -0.051      0.113 
50139.0000     -0.040      0.189     -0.096      0.172 
50140.0000     -0.042      0.230     -0.147      0.212 
50141.0000     -0.038      0.238     -0.196      0.220 
50142.0000     -0.036      0.237     -0.219      0.219 
50143.0000     -0.035      0.224     -0.224      0.207 
50144.0000     -0.031      0.174     -0.215      0.160 
50145.0000     -0.028      0.126     -0.190      0.115 
50146.0000     -0.024      0.114     -0.146      0.103 
50147.0000     -0.021      0.112     -0.082      0.101 
50148.0000     -0.021      0.109      0.030      0.095 
50149.0000     -0.006      0.107     -0.090      0.092 
50150.0000      0.011      0.106     -0.234      0.091 
50151.0000      0.022      0.105     -0.264      0.089 
50152.0000      0.024      0.102     -0.242      0.087 
50153.0000      0.012      0.101     -0.197      0.085 
50154.0000     -0.007      0.102     -0.169      0.086 
50155.0000     -0.045      0.112     -0.175      0.097 
50156.0000     -0.250      0.110     -0.016      0.096 
50157.0000     -0.355      0.110      0.053      0.096 
50158.0000     -0.356      0.111      0.030      0.097 
50159.0000     -0.290      0.114     -0.047      0.100 
50160.0000     -0.192      0.118     -0.140      0.104 
50161.0000     -0.099      0.119     -0.212      0.105 
50162.0000     -0.046      0.120     -0.225      0.106 
50163.0000     -0.082      0.111     -0.126      0.097 
50164.0000     -0.230      0.109     -0.018      0.095 
50165.0000     -0.473      0.116      0.063      0.104 
50166.0000     -0.694      0.137      0.111      0.129 
50167.0000     -0.795      0.150      0.118      0.145 
50168.0000     -0.677      0.153      0.075      0.148 
50169.0000     -0.155      0.131     -0.048      0.119 
50170.0000     -0.138      0.124     -0.005      0.106 
50171.0000     -0.328      0.123      0.095      0.104 
50172.0000     -0.392      0.123      0.143      0.103 
50173.0000     -0.409      0.119      0.166      0.101 
50174.0000     -0.389      0.112      0.167      0.096 
50175.0000     -0.343      0.109      0.151      0.094 
50176.0000     -0.279      0.109      0.122      0.093 
50177.0000     -0.262      0.109      0.089      0.093 
50178.0000     -0.262      0.109      0.051      0.093 
50179.0000     -0.260      0.109      0.011      0.093 
50180.0000     -0.256      0.109     -0.030      0.093 
50181.0000     -0.249      0.108     -0.069      0.093 
50182.0000     -0.240      0.108     -0.103      0.093 
50183.0000     -0.227      0.108     -0.129      0.093 
50184.0000     -0.178      0.109     -0.097      0.094 
50185.0000     -0.121      0.114     -0.045      0.097 
50186.0000     -0.073      0.133      0.001      0.111 
50187.0000     -0.042      0.153      0.035      0.125 
50188.0000     -0.032      0.159      0.051      0.129 
50189.0000     -0.050      0.160      0.040      0.130 
50190.0000     -0.107      0.179     -0.007      0.143 
50191.0000     -0.155      0.183     -0.068      0.146 
50192.0000     -0.185      0.181     -0.135      0.144 
50193.0000     -0.199      0.170     -0.193      0.138 
50194.0000     -0.194      0.141     -0.232      0.119 
50195.0000     -0.171      0.121     -0.240      0.106 
50196.0000     -0.128      0.117     -0.204      0.103 
50197.0000     -0.063      0.116     -0.114      0.103 
50198.0000      0.026      0.126      0.054      0.118 
50199.0000      0.124      0.130      0.187      0.124 
50200.0000      0.217      0.130      0.245      0.124 
50201.0000      0.279      0.130      0.248      0.122 
50202.0000      0.284      0.130      0.209      0.120 
50203.0000      0.211      0.130      0.138      0.119 
50204.0000      0.035      0.130      0.048      0.119 
50205.0000     -0.287      0.133     -0.049      0.128 
50206.0000     -0.545      0.134     -0.130      0.131 
50207.0000     -0.661      0.135     -0.182      0.131 
50208.0000     -0.675      0.141     -0.211      0.128 
50209.0000     -0.608      0.152     -0.222      0.121 
50210.0000     -0.484      0.157     -0.216      0.119 
50211.0000     -0.324      0.157     -0.196      0.118 
50212.0000     -0.288      0.157     -0.152      0.118 
50213.0000     -0.294      0.156     -0.098      0.117 
50214.0000     -0.296      0.148     -0.043      0.114 
50215.0000     -0.292      0.130      0.008      0.105 
50216.0000     -0.277      0.120      0.050      0.100 
50217.0000     -0.248      0.117      0.076      0.099 
50218.0000     -0.203      0.117      0.081      0.099 
50219.0000     -0.133      0.113      0.055      0.094 
50220.0000     -0.094      0.115      0.057      0.095 
50221.0000     -0.100      0.137      0.099      0.109 
50222.0000     -0.126      0.196      0.148      0.150 
50223.0000     -0.154      0.235      0.177      0.175 
50224.0000     -0.164      0.243      0.161      0.181 
50225.0000     -0.131      0.399      0.062      0.297 
50226.0000     -0.097      0.436     -0.017      0.325 
50227.0000     -0.067      0.438     -0.061      0.326 
50228.0000     -0.045      0.447     -0.081      0.332 
50229.0000     -0.035      0.471     -0.079      0.350 
50230.0000     -0.041      0.486     -0.062      0.361 
50231.0000     -0.066      0.489     -0.033      0.363 
50232.0000     -0.116      0.490      0.002      0.363 
50233.0000     -0.196      0.298      0.049      0.231 
50234.0000     -0.296      0.204      0.023      0.166 
50235.0000     -0.334      0.184     -0.048      0.151 
50236.0000     -0.265      0.171     -0.105      0.139 
50237.0000     -0.157      0.149     -0.125      0.120 
50238.0000     -0.056      0.142     -0.079      0.113 
50239.0000     -0.018      0.159      0.077      0.122 
50240.0000     -0.063      0.162      0.140      0.122 
50241.0000     -0.170      0.154      0.106      0.115 
50242.0000     -0.278      0.147      0.043      0.109 
50243.0000     -0.235      0.224      0.131      0.144 
50244.0000     -0.132      0.442      0.250      0.246 
50245.0000     -0.095      0.558      0.239      0.300 
50246.0000     -0.216      0.307     -0.037      0.186 
50247.0000     -0.275      0.220     -0.108      0.145 
50248.0000     -0.254      0.146      0.036      0.109 
50249.0000     -0.213      0.121      0.165      0.096 
50250.0000     -0.183      0.121      0.162      0.097 
50251.0000     -0.149      0.121      0.123      0.099 
50252.0000     -0.114      0.120      0.060      0.101 
50253.0000     -0.081      0.120     -0.017      0.102 
50254.0000     -0.084      0.120     -0.040      0.102 
50255.0000     -0.107      0.120     -0.035      0.102 
50256.0000     -0.133      0.118     -0.024      0.101 
50257.0000     -0.158      0.114     -0.010      0.098 
50258.0000     -0.176      0.112      0.005      0.096 
50259.0000     -0.185      0.111      0.019      0.096 
50260.0000     -0.179      0.111      0.029      0.096 
50261.0000     -0.140      0.108      0.027      0.093 
50262.0000     -0.100      0.103      0.026      0.088 
50263.0000     -0.097      0.104      0.041      0.089 
50264.0000     -0.118      0.110      0.066      0.095 
50265.0000     -0.156      0.127      0.096      0.114 
50266.0000     -0.204      0.138      0.129      0.126 
50267.0000     -0.255      0.140      0.161      0.129 
50268.0000     -0.251      0.141      0.181      0.129 
50269.0000     -0.221      0.140      0.191      0.128 
50270.0000     -0.188      0.135      0.192      0.122 
50271.0000     -0.156      0.121      0.182      0.106 
50272.0000     -0.130      0.113      0.159      0.097 
50273.0000     -0.115      0.111      0.121      0.095 
50274.0000     -0.117      0.111      0.068      0.094 
50275.0000     -0.154      0.108     -0.022      0.092 
50276.0000     -0.192      0.104     -0.101      0.088 
50277.0000     -0.199      0.106     -0.104      0.090 
50278.0000     -0.181      0.117     -0.055      0.098 
50279.0000     -0.143      0.129      0.022      0.107 
50280.0000     -0.091      0.131      0.107      0.109 
50281.0000     -0.005      0.135      0.195      0.117 
50282.0000     -0.136      0.163      0.130      0.146 
50283.0000     -0.246      0.174      0.073      0.157 
50284.0000     -0.198      0.164      0.112      0.148 
50285.0000     -0.098      0.137      0.170      0.123 
50286.0000     -0.013      0.118      0.193      0.106 
50287.0000     -0.008      0.115      0.132      0.102 
50288.0000     -0.184      0.128     -0.102      0.123 
50289.0000     -0.236      0.123     -0.129      0.116 
50290.0000     -0.168      0.109      0.035      0.096 
50291.0000     -0.149      0.108      0.102      0.095 
50292.0000     -0.151      0.110      0.122      0.099 
50293.0000     -0.163      0.117      0.117      0.109 
50294.0000     -0.181      0.122      0.094      0.116 
50295.0000     -0.203      0.123      0.060      0.118 
50296.0000     -0.088      0.126      0.124      0.121 
50297.0000      0.068      0.149      0.220      0.144 
50298.0000      0.197      0.284      0.303      0.273 
50299.0000      0.274      0.602      0.358      0.579 
50300.0000      0.272      0.776      0.371      0.746 
50301.0000      0.167      0.809      0.326      0.778 
50302.0000     -0.069      0.814      0.210      0.783 
50303.0000     -0.504      1.593     -0.018      1.509 
50304.0000     -0.717      1.624     -0.090      1.534 
50305.0000     -0.646      0.762      0.013      0.719 
50306.0000     -0.456      0.275      0.139      0.258 
50307.0000     -0.297      0.210      0.142      0.198 
50308.0000     -0.113      0.145      0.115      0.139 
50309.0000     -0.013      0.144      0.102      0.137 
50310.0000      0.046      0.143      0.089      0.137 
50311.0000      0.073      0.141      0.076      0.134 
50312.0000      0.074      0.131      0.062      0.121 
50313.0000      0.055      0.117      0.047      0.104 
50314.0000      0.023      0.112      0.032      0.099 
50315.0000     -0.017      0.111      0.016      0.098 
50316.0000     -0.058      0.111      0.000      0.098 
50317.0000     -0.033      0.111     -0.063      0.098 
50318.0000      0.008      0.111     -0.131      0.097 
50319.0000      0.038      0.111     -0.177      0.096 
50320.0000      0.052      0.111     -0.193      0.095 
50321.0000      0.045      0.111     -0.171      0.095 
50322.0000      0.012      0.111     -0.101      0.095 
50323.0000     -0.053      0.124      0.041      0.106 
50324.0000     -0.147      0.107      0.091      0.090 
50325.0000     -0.235      0.098      0.089      0.082 
50326.0000     -0.289      0.100      0.079      0.084 
50327.0000     -0.305      0.107      0.066      0.091 
50328.0000     -0.278      0.111      0.059      0.095 
50329.0000     -0.199      0.112      0.069      0.096 
50330.0000     -0.052      0.112      0.102      0.096 
50331.0000      0.060      0.111      0.242      0.096 
50332.0000     -0.002      0.114      0.033      0.099 
50333.0000     -0.036      0.113      0.101      0.098 
50334.0000     -0.026      0.113      0.332      0.098 
50335.0000     -0.047      0.114      0.349      0.098 
50336.0000     -0.067      0.116      0.279      0.099 
50337.0000     -0.069      0.116      0.179      0.099 
50338.0000     -0.028      0.117      0.115      0.097 
50339.0000      0.049      0.117      0.093      0.096 
50340.0000      0.149      0.116      0.114      0.095 
50341.0000      0.231      0.112      0.143      0.094 
50342.0000      0.261      0.110      0.155      0.093 
50343.0000      0.203      0.110      0.122      0.093 
50344.0000     -0.011      0.111     -0.004      0.095 
50345.0000     -0.055      0.111      0.023      0.096 
50346.0000      0.117      0.112     -0.072      0.096 
50347.0000      0.041      0.117     -0.045      0.102 
50348.0000     -0.050      0.152      0.052      0.137 
50349.0000      0.050      0.259      0.064      0.245 
50350.0000      0.118      0.313      0.048      0.299 
50351.0000      0.009      0.191      0.032      0.177 
50352.0000     -0.073      0.163      0.060      0.148 
50353.0000     -0.115      0.145      0.124      0.130 
50354.0000     -0.136      0.116      0.185      0.101 
50355.0000     -0.149      0.105      0.216      0.090 
50356.0000     -0.200      0.105      0.110      0.090 
50357.0000     -0.203      0.108      0.033      0.092 
50358.0000     -0.053      0.110      0.165      0.094 
50359.0000     -0.019      0.111      0.222      0.095 
50360.0000     -0.006      0.109      0.267      0.093 
50361.0000      0.017      0.108      0.222      0.092 
50362.0000      0.051      0.112      0.108      0.096 
50363.0000      0.081      0.124      0.017      0.109 
50364.0000      0.046      0.134     -0.015      0.118 
50365.0000     -0.130      0.147      0.066      0.135 
50366.0000     -0.241      0.198      0.152      0.193 
50367.0000     -0.278      0.276      0.220      0.281 
50368.0000     -0.363      0.258      0.259      0.261 
50369.0000     -0.421      0.195      0.282      0.189 
50370.0000     -0.416      0.134      0.295      0.120 
50371.0000     -0.312      0.119      0.303      0.102 
50372.0000     -0.048      0.116      0.327      0.099 
50373.0000      0.147      0.113      0.212      0.096 
50374.0000     -0.081      0.111      0.199      0.094 
50375.0000     -0.038      0.109      0.160      0.093 
50376.0000      0.181      0.108      0.095      0.093 
50377.0000      0.209      0.110      0.098      0.094 
50378.0000      0.141      0.114      0.140      0.097 
50379.0000      0.007      0.116      0.204      0.099 
50380.0000     -0.047      0.116      0.169      0.099 
50381.0000     -0.059      0.116      0.086      0.099 
50382.0000     -0.063      0.115      0.007      0.098 
50383.0000     -0.061      0.114     -0.053      0.097 
50384.0000     -0.050      0.113     -0.078      0.097 
50385.0000     -0.032      0.113     -0.052      0.097 
50386.0000     -0.005      0.113      0.042      0.097 
50387.0000      0.033      0.107      0.234      0.092 
50388.0000      0.064      0.106      0.372      0.090 
50389.0000      0.081      0.107      0.408      0.092 
50390.0000      0.084      0.113      0.380      0.096 
50391.0000      0.072      0.116      0.313      0.099 
50392.0000      0.045      0.116      0.232      0.099 
50393.0000      0.004      0.113      0.160      0.095 
50394.0000     -0.109      0.105      0.159      0.089 
50395.0000      0.005      0.091      0.082      0.077 
50396.0000      0.046      0.081      0.090      0.069 
50397.0000     -0.021      0.079      0.184      0.067 
50398.0000     -0.055      0.081      0.238      0.069 
50399.0000     -0.066      0.083      0.181      0.070 
50400.0000     -0.044      0.095     -0.113      0.079 
50401.0000     -0.002      0.085     -0.051      0.072 
50402.0000      0.017      0.078      0.035      0.066 
50403.0000      0.062      0.076      0.071      0.064 
50404.0000      0.075      0.078      0.126      0.066 
50405.0000      0.010      0.096      0.179      0.079 
50406.0000     -0.076      0.132      0.220      0.104 
50407.0000     -0.140      0.148      0.241      0.115 
50408.0000     -0.084      0.137      0.213      0.108 
50409.0000      0.014      0.113      0.169      0.093 
50410.0000      0.057      0.107      0.170      0.090 
50411.0000      0.042      0.106      0.211      0.090 
50412.0000      0.031      0.105      0.236      0.090 
50413.0000      0.055      0.105      0.212      0.090 
50414.0000      0.154      0.110      0.096      0.093 
50415.0000      0.185      0.111      0.037      0.095 
50416.0000      0.124      0.111      0.061      0.095 
50417.0000      0.032      0.112      0.115      0.095 
50418.0000     -0.048      0.113      0.157      0.095 
50419.0000     -0.071      0.113      0.148      0.096 
50420.0000      0.009      0.113      0.047      0.096 
50421.0000      0.301      0.122     -0.249      0.103 
50422.0000      0.127      0.116     -0.082      0.098 
50423.0000     -0.102      0.117      0.210      0.097 
50424.0000     -0.084      0.153      0.334      0.117 
50425.0000      0.025      0.256      0.363      0.173 
50426.0000      0.143      0.327      0.305      0.212 
50427.0000      0.190      0.343      0.170      0.221 
50428.0000      0.065      0.214     -0.037      0.150 
50429.0000     -0.047      0.184     -0.198      0.133 
50430.0000     -0.118      0.182     -0.282      0.133 
50431.0000     -0.160      0.176     -0.308      0.129 
50432.0000     -0.176      0.153     -0.286      0.117 
50433.0000     -0.170      0.134     -0.222      0.107 
50434.0000     -0.145      0.129     -0.125      0.105 
50435.0000     -0.105      0.128     -0.004      0.104 
50436.0000     -0.095      0.128      0.034      0.104 
50437.0000     -0.094      0.128      0.037      0.104 
50438.0000     -0.090      0.128      0.038      0.104 
50439.0000     -0.084      0.128      0.037      0.104 
50440.0000     -0.075      0.128      0.035      0.104 
50441.0000     -0.064      0.129      0.031      0.106 
50442.0000     -0.051      0.130      0.026      0.110 
50443.0000     -0.037      0.131      0.021      0.112 
50444.0000     -0.021      0.132      0.014      0.113 
50445.0000     -0.005      0.132      0.007      0.113 
50446.0000      0.013      0.132      0.000      0.113 
50447.0000      0.031      0.132     -0.006      0.113 
50448.0000      0.050      0.132     -0.013      0.113 
50449.0000      0.088      0.102      0.006      0.103 
50450.0000      0.130      0.102      0.032      0.103 
50451.0000      0.167      0.102      0.053      0.103 
50452.0000      0.198      0.099      0.068      0.100 
50453.0000      0.220      0.092      0.075      0.093 
50454.0000      0.233      0.088      0.074      0.089 
50455.0000      0.235      0.088      0.062      0.089 
50456.0000      0.224      0.088      0.038      0.089 
50457.0000      0.198      0.088      0.001      0.089 
50458.0000      0.173      0.086     -0.086      0.087 
50459.0000      0.083      0.085     -0.098      0.086 
50460.0000     -0.075      0.085     -0.010      0.086 
50461.0000     -0.145      0.086      0.022      0.086 
50462.0000     -0.152      0.086      0.015      0.087 
50463.0000     -0.110      0.087     -0.019      0.088 
50464.0000     -0.013      0.087     -0.082      0.088 
50465.0000      0.112      0.087     -0.156      0.088 
50466.0000      0.235      0.087     -0.225      0.088 
50467.0000      0.336      0.087     -0.273      0.088 
50468.0000      0.391      0.087     -0.287      0.088 
50469.0000      0.379      0.087     -0.253      0.088 
50470.0000      0.278      0.087     -0.156      0.088 
50471.0000      0.052      0.087      0.028      0.088 
50472.0000     -0.112      0.087      0.163      0.088 
50473.0000     -0.162      0.086      0.210      0.087 
50474.0000     -0.137      0.080      0.195      0.082 
50475.0000     -0.065      0.071      0.134      0.072 
50476.0000      0.027      0.067      0.044      0.068 
50477.0000      0.111      0.066     -0.058      0.068 
50478.0000      0.126      0.071     -0.152      0.072 
50479.0000      0.119      0.080     -0.228      0.081 
50480.0000      0.095      0.085     -0.229      0.085 
50481.0000      0.058      0.101     -0.161      0.096 
50482.0000      0.028      0.121     -0.093      0.111 
50483.0000      0.013      0.127     -0.067      0.116 
50484.0000      0.032      0.173     -0.150      0.141 
50485.0000      0.053      0.382     -0.050      0.263 
50486.0000      0.066      0.689      0.188      0.441 
50487.0000      0.045      0.641      0.239      0.419 
50488.0000      0.015      0.464      0.216      0.338 
50489.0000     -0.010      0.300      0.144      0.262 
50490.0000     -0.015      0.258      0.049      0.242 
50491.0000      0.018      0.160     -0.048      0.148 
50492.0000      0.074      0.165     -0.050      0.138 
50493.0000      0.129      0.200      0.010      0.153 
50494.0000      0.114      0.198     -0.014      0.152 
50495.0000      0.069      0.182     -0.056      0.144 
50496.0000      0.013      0.145     -0.093      0.125 
50497.0000     -0.037      0.126     -0.103      0.115 
50498.0000     -0.063      0.122     -0.062      0.113 
50499.0000     -0.022      0.169      0.097      0.144 
50500.0000      0.037      0.242      0.271      0.191 
50501.0000      0.064      0.242      0.317      0.192 
50502.0000      0.071      0.224      0.277      0.181 
50503.0000      0.063      0.170      0.176      0.149 
50504.0000      0.045      0.134      0.031      0.128 
50505.0000      0.020      0.127     -0.138      0.123 
50506.0000      0.013      0.126     -0.229      0.123 
50507.0000      0.014      0.125     -0.282      0.122 
50508.0000      0.016      0.121     -0.325      0.119 
50509.0000      0.018      0.109     -0.357      0.109 
50510.0000      0.020      0.100     -0.379      0.102 
50511.0000      0.022      0.098     -0.390      0.101 
50512.0000      0.024      0.098     -0.390      0.101 
50513.0000      0.023      0.098     -0.358      0.101 
50514.0000      0.020      0.098     -0.311      0.100 
50515.0000      0.017      0.095     -0.257      0.097 
50516.0000      0.013      0.086     -0.200      0.087 
50517.0000      0.009      0.080     -0.144      0.081 
50518.0000      0.005      0.079     -0.091      0.080 
50519.0000      0.000      0.079     -0.044      0.080 
50520.0000     -0.043      0.081     -0.054      0.083 
50521.0000     -0.095      0.101     -0.086      0.106 
50522.0000     -0.136      0.216     -0.121      0.241 
50523.0000     -0.158      0.486     -0.153      0.560 
50524.0000     -0.154      0.634     -0.177      0.734 
50525.0000     -0.120      0.663     -0.189      0.768 
50526.0000     -0.047      0.667     -0.183      0.772 
50527.0000      0.078      0.388     -0.153      0.443 
50528.0000      0.151      0.291     -0.137      0.328 
50529.0000      0.150      0.253     -0.141      0.284 
50530.0000      0.108      0.156     -0.153      0.170 
50531.0000      0.051      0.098     -0.162      0.101 
50532.0000      0.004      0.086     -0.157      0.087 
50533.0000      0.000      0.084     -0.124      0.084 
50534.0000      0.020      0.084     -0.127      0.084 
50535.0000      0.060      0.084     -0.166      0.084 
50536.0000      0.101      0.084     -0.215      0.085 
50537.0000      0.127      0.084     -0.256      0.086 
50538.0000      0.123      0.084     -0.270      0.086 
50539.0000      0.073      0.084     -0.238      0.086 
50540.0000     -0.058      0.086     -0.115      0.088 
50541.0000     -0.050      0.087     -0.164      0.088 
50542.0000      0.004      0.086     -0.222      0.088 
50543.0000      0.031      0.085     -0.201      0.087 
50544.0000      0.039      0.083     -0.147      0.084 
50545.0000      0.023      0.081     -0.088      0.082 
50546.0000     -0.023      0.081     -0.049      0.082 
50547.0000     -0.106      0.071     -0.066      0.072 
50548.0000     -0.207      0.069     -0.103      0.070 
50549.0000     -0.313      0.070     -0.157      0.071 
50550.0000     -0.405      0.073     -0.212      0.074 
50551.0000     -0.465      0.083     -0.256      0.083 
50552.0000     -0.477      0.089     -0.275      0.090 
50553.0000     -0.421      0.090     -0.258      0.091 
